run,evaluations,avg_weight,max_weight,avg_material,max_material
3,4000,-82435000.0,1500000,276.6617862141893,139.9991335098206
3,4500,-77801000.0,1500000,274.1942909273718,139.9991335098206
3,5000,-74127000.0,1500000,259.10673610625076,139.9991335098206
4,500,-97172000.0,-14000000.000000002,480.15178247394886,208.1934341574182
4,1000,-95118000.0,-14000000.000000002,428.381818049539,178.28325048538764
4,1500,-92430000.0,-14000000.000000002,396.0252460303602,167.50543588111637
4,2000,-90516000.0,-14000000.000000002,362.5304289666935,139.9996535650233
4,2500,-88084000.0,0,340.78855833712925,139.9996535650233
4,3000,-85070000.0,0,317.59153631740503,139.9996535650233
4,3500,-81946000.0,0,298.7178059985675,139.999424967155
4,4000,-79176000.0,0,275.99966844468577,139.99918178006206
4,4500,-75116000.0,0,264.22687073016846,139.99913217459576
4,5000,-71120000.0,0,253.70624663513098,139.99913217459576
5,500,-97638000.0,-64000000.0,478.38652357046703,196.57758883378014
5,1000,-95372000.0,-44999999.99999999,416.08130266038023,179.1337984754816
5,1500,-93918000.0,-44999999.99999999,378.60620750157693,166.4363051436519
5,2000,-91628000.0,0,351.909777588396,139.99952567713905
5,2500,-89538000.0,0,329.5483578213026,139.99922369637403
5,3000,-86792000.0,0,319.71710609854875,139.99922369637403
5,3500,-83938000.0,0,298.5302179565063,139.99916885790216
5,4000,-81596000.0,0,272.73161008973955,139.99912977030974
5,4500,-77924000.0,0,247.37080264858236,139.9991086291386
5,5000,-74072000.0,0,234.0801002244568,139.9991086291386
6,500,-97022000.0,0,482.08370645644993,178.02004924201077
6,1000,-94694000.0,0,424.35762198107483,178.02004924201077
6,1500,-92630000.0,0,389.0327607442375,157.37627871633066
6,2000,-89486000.0,0,365.0530937379933,157.37627871633066
6,2500,-86584000.0,0,347.1774633870185,157.37627871633066
6,3000,-83440000.0,0,328.0388662177112,157.37592088246592
6,3500,-79506000.0,0,320.3049607270645,139.99928144276984
6,4000,-75524000.0,0,312.93305439832295,139.9991527435887
6,4500,-70986000.0,0,303.5340772474176,139.9991527435887
6,5000,-66028000.0,0,302.72578742017436,139.99914163317325
7,500,-97414000.0,-59000000.0,480.49633173635374,179.35880103281016
7,1000,-95232000.0,-59000000.0,423.16621776896835,155.7097325075133
7,1500,-93140000.0,-55000000.00000001,385.63083746927543,155.7097325075133
7,2000,-90656000.0,0,354.8268050943877,139.99969217149962
7,2500,-88088000.0,0,332.36914898479256,139.9996598051588
7,3000,-84914000.0,0,313.9487405002015,139.9993616056827
7,3500,-81722000.0,0,291.5041954861114,139.99916949214813
7,4000,-78434000.0,0,274.6559823242376,139.99916949214813
7,4500,-75694000.0,0,253.77264239847344,139.99916949214813
7,5000,-71688000.0,0,244.59646587489874,139.99911314248132
8,500,-97328000.0,0,474.7073414334645,160.5485760143511
8,1000,-95226000.0,0,430.8212328762788,160.5485760143511
8,1500,-93038000.0,0,401.99709424055357,160.39177419002667
8,2000,-90796000.0,0,377.39246727510516,160.39177419002667
8,2500,-88444000.0,0,345.8342636610834,139.99986568779477
8,3000,-85896000.0,0,327.26671596988433,139.99924247709103
8,3500,-83572000.0,0,305.69097975102125,139.99915947153698
8,4000,-79734000.0,0,283.7046411105456,139.99915947153698
8,4500,-75882000.0,0,267.66772962654795,139.99910852847023
8,5000,-70527000.0,2500000,261.1163263066984,139.99910182557238
9,500,-97552000.0,-70000000.0,478.06641710056914,165.3668882618574
9,1000,-95391000.0,2500000,427.61788142745496,165.3668882618574
9,1500,-93081000.0,2500000,390.555116309688,139.99970247980255
9,2000,-90669000.0,2500000,360.4096452462758,139.9996970757432
9,2500,-88647000.0,2500000,331.6335706759865,139.9992054649434
9,3000,-85136000.0,2500000,324.7792151599263,139.9992054649434
9,3500,-81932000.0,2500000,312.9982917538614,139.99913434010313
9,4000,-77114000.0,2500000,301.53272257098604,139.99912576860794
9,4500,-72504000.0,2500000,286.7409682957801,139.99912576860794
9,5000,-68496000.0,2500000,274.2979440947025,139.99912576860794
10,500,-97508000.0,-24000000.0,481.2920218430862,186.93039700883574
10,1000,-95566000.0,-15000000.000000002,430.33030008053737,172.00706426162344
10,1500,-93808000.0,-15000000.000000002,401.3547587590456,170.8111379686059
10,2000,-91676000.0,-9999999.999999998,378.81335438269923,139.99964471711456
10,2500,-90072000.0,-9999999.999999998,348.6074909652898,139.99964471711456
10,3000,-87798000.0,0,330.4593374052029,139.9995405963331
10,3500,-84858000.0,0,315.86073129678493,139.99921405947768
10,4000,-81578000.0,0,300.0651885244447,139.99921405947768
10,4500,-78498000.0,0,281.80720149635096,139.99921405947768
10,5000,-75024000.0,0,261.6997654693632,139.99913056583267
