run,evaluations,avg_fitness,best_fitness
10,4250,-97752000.0,-69000000.0
10,4500,-97036000.0,-69000000.0
10,4750,-96228000.0,-69000000.0
10,5000,-94944000.0,1000000
11,500,-99896000.0,-93000000.0
11,750,-99858000.0,-91000000.0
11,1000,-99796000.0,-91000000.0
11,1250,-99722000.0,-89000000.0
11,1500,-99534000.0,-66999999.99999999
11,1750,-99460000.0,-66999999.99999999
11,2000,-99322000.0,-66999999.99999999
11,2250,-99140000.0,-66999999.99999999
11,2500,-99036000.0,-66999999.99999999
11,2750,-98796000.0,-66999999.99999999
11,3000,-98552000.0,-66999999.99999999
11,3250,-98242000.0,-66999999.99999999
11,3500,-97528000.0,0
11,3750,-96880000.0,0
11,4000,-96222000.0,0
11,4250,-94878000.0,0
11,4500,-93916000.0,0
11,4750,-92800000.0,0
11,5000,-91110000.0,0
12,500,-99954000.0,-94000000.0
12,750,-99914000.0,-93000000.0
12,1000,-99862000.0,-93000000.0
12,1250,-99832000.0,-93000000.0
12,1500,-99752000.0,-70000000.0
12,1750,-99636000.0,-70000000.0
12,2000,-99488000.0,-70000000.0
12,2250,-99370000.0,-70000000.0
12,2500,-99226000.0,-70000000.0
12,2750,-99116000.0,-70000000.0
12,3000,-98880000.0,-63000000.0
12,3250,-98672000.0,-63000000.0
12,3500,-98494000.0,-63000000.0
12,3750,-98088000.0,-39000000.0
12,4000,-97760000.0,-39000000.0
12,4250,-97078000.0,0
12,4500,-96208000.0,0
12,4750,-95308000.0,0
12,5000,-93997000.0,500000
13,500,-99834000.0,-69000000.0
13,750,-99824000.0,-69000000.0
13,1000,-99814000.0,-69000000.0
13,1250,-99766000.0,-69000000.0
13,1500,-99738000.0,-69000000.0
13,1750,-99702000.0,-69000000.0
13,2000,-99588000.0,-69000000.0
13,2250,-99516000.0,-69000000.0
13,2500,-99460000.0,-69000000.0
13,2750,-99330000.0,-69000000.0
13,3000,-99268000.0,-69000000.0
13,3250,-99084000.0,-64999999.99999999
13,3500,-98928000.0,-64999999.99999999
13,3750,-98816000.0,-64999999.99999999
13,4000,-98590000.0,-57000000.00000001
13,4250,-98302000.0,-36000000.0
13,4500,-98040000.0,-36000000.0
13,4750,-97490000.0,-36000000.0
13,5000,-96798000.0,0
14,500,-99948000.0,-96000000.0
14,750,-99902000.0,-82000000.0
14,1000,-99668000.0,0
14,1250,-99648000.0,0
14,1500,-99620000.0,0
14,1750,-99584000.0,0
14,2000,-99406000.0,0
14,2250,-99262000.0,0
14,2500,-99120000.0,0
14,2750,-98966000.0,0
14,3000,-98888000.0,0
14,3250,-98718000.0,0
14,3500,-98504000.0,0
14,3750,-98180000.0,0
14,4000,-97872000.0,0
14,4250,-97346000.0,0
14,4500,-96746000.0,0
14,4750,-95562000.0,0
14,5000,-94830000.0,0
15,500,-99920000.0,-94000000.0
15,750,-99894000.0,-94000000.0
15,1000,-99880000.0,-94000000.0
15,1250,-99868000.0,-94000000.0
15,1500,-99846000.0,-94000000.0
15,1750,-99816000.0,-93000000.0
15,2000,-99780000.0,-92000000.0
15,2250,-99714000.0,-80000000.0
15,2500,-99632000.0,-80000000.0
15,2750,-99560000.0,-80000000.0
15,3000,-99360000.0,-68000000.0
15,3250,-99250000.0,-68000000.0
15,3500,-99120000.0,-68000000.0
15,3750,-98898000.0,-64999999.99999999
15,4000,-98700000.0,-64999999.99999999
15,4250,-98406000.0,-64999999.99999999
15,4500,-97840000.0,0
15,4750,-97350000.0,0
15,5000,-96754000.0,0
16,500,-99924000.0,-92000000.0
16,750,-99894000.0,-91000000.0
16,1000,-99800000.0,-84000000.0
16,1250,-99714000.0,-84000000.0
16,1500,-99614000.0,-84000000.0
16,1750,-99502000.0,-68000000.0
16,2000,-99414000.0,-68000000.0
16,2250,-99080000.0,-60000000.0
16,2500,-98918000.0,-60000000.0
16,2750,-98792000.0,-60000000.0
16,3000,-98558000.0,-60000000.0
16,3250,-98444000.0,-60000000.0
16,3500,-98094000.0,-60000000.0
16,3750,-97578000.0,-60000000.0
16,4000,-97184000.0,-60000000.0
16,4250,-96428000.0,-48000000.0
16,4500,-95750000.0,-48000000.0
16,4750,-94506000.0,-15000000.000000002
16,5000,-93322000.0,-15000000.000000002
17,500,-99958000.0,-90000000.0
17,750,-99950000.0,-90000000.0
17,1000,-99904000.0,-90000000.0
17,1250,-99876000.0,-90000000.0
17,1500,-99836000.0,-90000000.0
17,1750,-99806000.0,-90000000.0
17,2000,-99764000.0,-90000000.0
17,2250,-99714000.0,-90000000.0
17,2500,-99680000.0,-90000000.0
17,2750,-99558000.0,-90000000.0
17,3000,-99480000.0,-84000000.0
17,3250,-99390000.0,-84000000.0
17,3500,-99346000.0,-84000000.0
17,3750,-99148000.0,-37000000.0
17,4000,-99008000.0,-37000000.0
17,4250,-98898000.0,-37000000.0
17,4500,-98700000.0,-37000000.0
17,4750,-98396000.0,-37000000.0
17,5000,-97938000.0,-37000000.0
18,500,-99930000.0,-97000000.0
18,750,-99896000.0,-96000000.0
18,1000,-99866000.0,-93000000.0
18,1250,-99792000.0,-91000000.0
18,1500,-99768000.0,-91000000.0
18,1750,-99698000.0,-89000000.0
18,2000,-99630000.0,-89000000.0
18,2250,-99540000.0,-89000000.0
18,2500,-99452000.0,-89000000.0
18,2750,-99342000.0,-89000000.0
18,3000,-99178000.0,-89000000.0
18,3250,-99004000.0,-82000000.0
18,3500,-98872000.0,-82000000.0
18,3750,-98596000.0,-74000000.0
18,4000,-98322000.0,-74000000.0
18,4250,-97924000.0,-71000000.0
18,4500,-97076000.0,0
18,4750,-96312000.0,0
18,5000,-95284000.0,0
19,500,-99886000.0,-81000000.0
19,750,-99846000.0,-81000000.0
19,1000,-99628000.0,-17999999.999999993
19,1250,-99584000.0,-17999999.999999993
19,1500,-99548000.0,-17999999.999999993
19,1750,-99362000.0,-17999999.999999993
19,2000,-99296000.0,-17999999.999999993
19,2250,-99214000.0,-17999999.999999993
19,2500,-99054000.0,-17999999.999999993
19,2750,-98942000.0,-17999999.999999993
19,3000,-98748000.0,-17999999.999999993
19,3250,-98364000.0,-17999999.999999993
19,3500,-97952000.0,-17999999.999999993
19,3750,-97424000.0,-17999999.999999993
19,4000,-96610000.0,-17999999.999999993
19,4250,-95970000.0,-17999999.999999993
19,4500,-95068000.0,-17999999.999999993
19,4750,-93593000.0,1500000
19,5000,-92123000.0,1500000
20,500,-99810000.0,-54000000.0
20,750,-99722000.0,-54000000.0
20,1000,-99700000.0,-54000000.0
20,1250,-99652000.0,-54000000.0
20,1500,-99510000.0,-54000000.0
20,1750,-99440000.0,-54000000.0
20,2000,-99362000.0,-54000000.0
20,2250,-99258000.0,-54000000.0
20,2500,-99074000.0,-54000000.0
20,2750,-98956000.0,-54000000.0
20,3000,-98700000.0,-54000000.0
20,3250,-98478000.0,-54000000.0
20,3500,-98182000.0,-54000000.0
20,3750,-97882000.0,-54000000.0
20,4000,-97382000.0,-54000000.0
20,4250,-96650000.0,-54000000.0
20,4500,-95564000.0,-3000000.000000003
20,4750,-94485000.0,500000
20,5000,-93605000.0,500000
21,500,-99910000.0,-80000000.0
21,750,-99822000.0,-80000000.0
21,1000,-99788000.0,-80000000.0
21,1250,-99732000.0,-80000000.0
21,1500,-99676000.0,-80000000.0
21,1750,-99610000.0,-80000000.0
21,2000,-99548000.0,-80000000.0
21,2250,-99448000.0,-80000000.0
21,2500,-99364000.0,-80000000.0
21,2750,-99210000.0,-75000000.0
21,3000,-99068000.0,-75000000.0
21,3250,-98738000.0,-26000000.0
21,3500,-98506000.0,-26000000.0
21,3750,-98012000.0,-26000000.0
21,4000,-97636000.0,-26000000.0
21,4250,-97092000.0,-26000000.0
21,4500,-96294000.0,-26000000.0
21,4750,-95124000.0,-26000000.0
21,5000,-94178000.0,-23000000.0
22,500,-99944000.0,-93000000.0
22,750,-99908000.0,-93000000.0
22,1000,-99792000.0,-82000000.0
22,1250,-99762000.0,-82000000.0
22,1500,-99694000.0,-82000000.0
22,1750,-99658000.0,-82000000.0
22,2000,-99606000.0,-82000000.0
22,2250,-99526000.0,-82000000.0
22,2500,-99442000.0,-82000000.0
22,2750,-99262000.0,-82000000.0
22,3000,-99076000.0,-80000000.0
22,3250,-98898000.0,-78000000.0
22,3500,-98598000.0,-78000000.0
22,3750,-98326000.0,-78000000.0
22,4000,-97856000.0,-51000000.0
22,4250,-97082000.0,0
22,4500,-96182000.0,0
22,4750,-95182000.0,0
22,5000,-94162000.0,0
23,500,-99856000.0,-70000000.0
23,750,-99812000.0,-70000000.0
23,1000,-99792000.0,-70000000.0
23,1250,-99738000.0,-70000000.0
23,1500,-99668000.0,-70000000.0
23,1750,-99598000.0,-70000000.0
23,2000,-99468000.0,-70000000.0
23,2250,-99386000.0,-70000000.0
23,2500,-99258000.0,-70000000.0
23,2750,-99134000.0,-70000000.0
23,3000,-99038000.0,-70000000.0
23,3250,-98892000.0,-70000000.0
23,3500,-98676000.0,-70000000.0
23,3750,-98280000.0,-70000000.0
23,4000,-97840000.0,-70000000.0
23,4250,-97232000.0,-70000000.0
23,4500,-96660000.0,-70000000.0
23,4750,-95614000.0,1000000
23,5000,-94095000.0,3500000
24,500,-99890000.0,-89000000.0
24,750,-99858000.0,-89000000.0
24,1000,-99846000.0,-89000000.0
24,1250,-99786000.0,-89000000.0
24,1500,-99758000.0,-89000000.0
24,1750,-99738000.0,-89000000.0
24,2000,-99690000.0,-89000000.0
24,2250,-99640000.0,-89000000.0
24,2500,-99562000.0,-89000000.0
24,2750,-99452000.0,-76000000.0
24,3000,-99346000.0,-76000000.0
24,3250,-99164000.0,-76000000.0
24,3500,-99042000.0,-76000000.0
24,3750,-98820000.0,-76000000.0
24,4000,-98530000.0,-32999999.999999996
24,4250,-98190000.0,-32999999.999999996
24,4500,-97704000.0,-32999999.999999996
24,4750,-97154000.0,-32999999.999999996
24,5000,-96718000.0,-32999999.999999996
25,500,-99926000.0,-89000000.0
25,750,-99912000.0,-89000000.0
25,1000,-99876000.0,-89000000.0
25,1250,-99842000.0,-89000000.0
25,1500,-99826000.0,-89000000.0
25,1750,-99802000.0,-89000000.0
25,2000,-99756000.0,-89000000.0
25,2250,-99694000.0,-89000000.0
25,2500,-99642000.0,-89000000.0
25,2750,-99580000.0,-89000000.0
25,3000,-99440000.0,-89000000.0
25,3250,-99308000.0,-89000000.0
25,3500,-99156000.0,-88000000.0
25,3750,-98984000.0,-79000000.0
25,4000,-98844000.0,-79000000.0
25,4250,-98576000.0,-71000000.0
25,4500,-98302000.0,-71000000.0
25,4750,-97892000.0,-65999999.99999999
25,5000,-97226000.0,-65999999.99999999
